DBN,LOCATION NAME,LOCATION CATEGORY,ADMINISTRATIVE DISTRICT,AMERICAN INDIAN/ALASKAN NATIVE STUDENTS With 2 or More Suspensions or Removals,ASIAN STUDENTS With 2 or More Suspensions or Removals,BLACK STUDENTS With 2 or More Suspensions or Removals,HISPANIC STUDENTS With 2 or More Suspensions or Removals,WHITE STUDENTS With 2 or More Suspensions or Removals,MULTI-RACIAL STUDENTS With 2 or More Suspensions or Removals,UNKNOWN STUDENTS With 2 or More Suspensions or Removals,TOTAL STUDENTS With 2 or More Suspensions or Removals
01M015,P.S. 015 Roberto Clemente,Elementary,1,*,*,*,*,*,*,*,*
01M019,P.S. 019 Asher Levy,Elementary,1,*,*,*,*,*,*,*,*
01M020,P.S. 020 Anna Silver,Elementary,1,*,*,*,*,*,*,*,*
01M034,P.S. 034 Franklin D. Roosevelt,K-8,1,*,*,*,*,*,*,*,14
01M063,The STAR Academy - P.S.63,Elementary,1,*,*,*,*,*,*,*,6
01M064,P.S. 064 Robert Simon,Elementary,1,*,*,*,*,*,*,*,*
01M110,P.S. 110 Florence Nightingale,Elementary,1,*,*,*,*,*,*,*,*
01M134,P.S. 134 Henrietta Szold,Elementary,1,*,*,*,*,*,*,*,*
01M137,P.S. 137 John L. Bernstein,Elementary,1,*,*,*,*,*,*,*,*
01M140,P.S. 140 Nathan Straus,K-8,1,*,*,*,*,*,*,*,*
01M142,P.S. 142 Amalia Castro,Elementary,1,*,*,*,*,*,*,*,*
01M184,P.S. 184m Shuang Wen,K-8,1,*,*,*,*,*,*,*,*
01M188,P.S. 188 The Island School,K-8,1,*,*,*,*,*,*,*,10
01M292,Henry Street School for International Studies,Secondary School,1,*,*,*,*,*,*,*,*
01M301,"Technology, Arts, and Sciences Studio",Junior High-Intermediate-Middle,1,*,*,*,*,*,*,*,*
01M315,The East Village Community School,Elementary,1,*,*,*,*,*,*,*,*
01M332,University Neighborhood Middle School,Junior High-Intermediate-Middle,1,*,*,*,*,*,*,*,*
01M345,"Collaborative Academy of Science, Technology, & La",Junior High-Intermediate-Middle,1,*,*,*,*,*,*,*,11
01M361,The Children's Workshop School,Elementary,1,*,*,*,*,*,*,*,*
01M363,Neighborhood School,Elementary,1,*,*,*,*,*,*,*,*
01M364,Earth School,Elementary,1,*,*,*,*,*,*,*,*
01M378,School for Global Leaders,Junior High-Intermediate-Middle,1,*,*,*,*,*,*,*,*
01M444,Home Schooling,Central-HQ-Citywide,1,*,*,*,*,*,*,*,*
01M448,University Neighborhood High School,High school,1,*,*,*,*,*,*,*,*
01M450,East Side Community School,Secondary School,1,*,*,*,*,*,*,*,*
01M458,Forsyth Satellite Academy,High school,1,*,*,*,*,*,*,*,*
01M509,Marta Valle High School,High school,1,*,*,9,*,*,*,*,12
01M515,Lower East Side Preparatory High School,High school,1,*,*,*,*,*,*,*,*
